# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 0
# model = bernoulli2_model
# start_datetime = 2024-01-19 15:21:47 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000 (Default)
#       delta = 0.850000
#       kappa = 0.750000 (Default)
#       t0 = 10.000000 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1.000000 (Default)
#         stepsize_jitter = 0.000000 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /Users/rob/.julia/dev/Stan/Examples/Bernoulli/tmp2/bernoulli2_data_1.json
# init = 2 (Default)
# random
#   seed = 695854889 (Default)
# output
#   file = /Users/rob/.julia/dev/Stan/Examples/Bernoulli/tmp2/bernoulli2_chain_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 6
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.33.1-101-g8f2dbe7
# stancflags = --warn-pedantic
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
-8.28877,0.848597,0.5,1,3,0,8.91846,0.193645
-8.28877,0,9.97452,0,1,1,8.38805,0.193645
-10.5828,0.0581027,1.34421,1,1,0,11.2504,0.676025
-11.2496,0.990416,0.125392,1,3,0,11.7016,0.708934
-11.0999,1,0.136508,1,1,0,11.2498,0.701968
-11.3485,0.998386,0.177118,2,3,0,11.3526,0.713412
-8.38447,0.994564,0.250218,4,15,0,12.4702,0.185141
-8.56525,0.996389,0.369126,2,3,0,8.56995,0.170956
-9.06513,0.979316,0.566426,2,3,0,9.09468,0.140307
-8.51528,1,0.840357,2,3,0,9.65498,0.174664
-8.51528,0.0590533,1.34578,1,1,0,8.62169,0.174664
-8.57019,0.999845,0.110902,3,7,0,8.59934,0.170597
-7.89129,0.994667,0.180204,3,11,0,9.53454,0.433829
-7.68908,0.989287,0.288707,2,7,0,8.24986,0.290939
-7.71735,0.99642,0.454492,1,1,0,7.71793,0.280809
-7.68966,1,0.729485,1,1,0,7.72168,0.290702
-8.05791,0.747738,1.17852,1,1,0,8.17694,0.218288
-8.97461,0.800129,0.876129,2,3,0,9.0634,0.145148
-8.62737,1,0.767602,1,1,0,9.10789,0.166544
-8.62737,0.0121429,1.23003,1,1,0,9.25609,0.166544
-7.8154,0.998323,0.102926,3,15,0,9.73934,0.256129
-8.7657,0.990007,0.165801,3,11,0,9.06163,0.157416
-7.85461,0.973583,0.258752,2,7,0,10.5892,0.24852
