# stan_version_major = 2
# stan_version_minor = 32
# stan_version_patch = 0
# model = bernoulli2_model
# start_datetime = 2023-07-11 13:09:44 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /Users/rob/.julia/dev/Stan/Examples/Bernoulli/tmp2/bernoulli2_data_2.json
# init = 2 (Default)
# random
#   seed = 1279001897 (Default)
# output
#   file = /Users/rob/.julia/dev/Stan/Examples/Bernoulli/tmp2/bernoulli2_chain_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 6
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.32.0-42-g5ae292a9
# stancflags = --warn-pedantic
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 0.849297
# Diagonal elements of inverse mass matrix:
# 0.538535
-7.66534,1,0.849297,1,3,0,7.77623,0.365523
-7.70911,0.94554,0.849297,2,3,0,7.99294,0.283527
-7.64058,0.873345,0.849297,2,3,0,8.57204,0.323925
-8.24782,0.857534,0.849297,1,3,0,8.405,0.197542
-8.07684,1,0.849297,1,1,0,8.26862,0.215981
-8.43255,0.93552,0.849297,1,1,0,8.45614,0.18115
-7.84608,0.92396,0.849297,1,3,0,9.11071,0.424182
-7.70787,1,0.849297,1,1,0,7.81068,0.385289
-8.61915,0.815292,0.849297,1,3,0,8.64291,0.534119
-7.68135,0.974161,0.849297,1,3,0,8.77208,0.294207
-7.73334,0.987684,0.849297,1,1,0,7.73585,0.275938
-7.6465,0.994006,0.849297,1,3,0,7.76938,0.351048
-8.12643,0.88083,0.849297,2,3,0,8.45095,0.47409
-9.31971,0.707753,0.849297,1,1,0,9.33818,0.595918
-9.24859,1,0.849297,2,7,0,9.24887,0.131232
-7.73037,0.985745,0.849297,1,3,0,9.18074,0.276808
-7.8338,0.976693,0.849297,1,1,0,7.83896,0.25245
-7.67266,1,0.849297,2,3,0,7.79333,0.369665
-7.67906,0.99826,0.849297,1,1,0,7.68695,0.372945
-7.66624,1,0.849297,1,1,0,7.68065,0.366058
-8.05362,0.879504,0.849297,1,3,0,8.32186,0.21882
-8.89025,0.928279,0.849297,2,7,0,8.8905,0.560284
-8.10799,1,0.849297,1,1,0,8.70095,0.471341
-8.06115,1,0.849297,1,1,0,8.2046,0.46411
-7.73941,1,0.849297,1,1,0,7.97088,0.39619
-10.6861,0.498664,0.849297,1,3,0,10.8628,0.68146
-10.4161,1,0.849297,1,1,0,11.3321,0.666962
-7.67067,1,0.849297,1,3,0,9.89626,0.368583
-7.6402,0.997597,0.849297,2,3,0,7.68642,0.342033
-7.6402,0.908187,0.849297,1,3,0,8.02433,0.342033
-8.76733,0.831042,0.849297,2,3,0,8.85394,0.157314
-8.53657,1,0.849297,1,1,0,8.84289,0.173066
