# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 0
# model = bernoulli2_model
# start_datetime = 2024-01-19 15:21:47 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000 (Default)
#       delta = 0.850000
#       kappa = 0.750000 (Default)
#       t0 = 10.000000 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1.000000 (Default)
#         stepsize_jitter = 0.000000 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /Users/rob/.julia/dev/Stan/Examples/Bernoulli/tmp2/bernoulli2_data_3.json
# init = 2 (Default)
# random
#   seed = 695854889 (Default)
# output
#   file = /Users/rob/.julia/dev/Stan/Examples/Bernoulli/tmp2/bernoulli2_chain_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = 6
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.33.1-101-g8f2dbe7
# stancflags = --warn-pedantic
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
-7.81947,0.00725067,2,1,1,0,9.27789,0.255297
-7.81947,0.0879244,2.16044,2,3,0,7.96838,0.255297
-8.16414,0.983186,0.227632,3,9,0,8.79613,0.479552
-7.92229,0.993216,0.19812,3,11,0,8.70825,0.237074
-7.95016,0.99924,0.224718,1,1,0,7.95062,0.23283
-7.71601,0.931682,0.297286,2,5,0,10.5581,0.388297
-8.73254,0.872416,0.347214,1,3,0,9.70196,0.545488
-7.71708,0.923476,0.352122,3,7,0,11.0827,0.388682
-7.73805,0.949292,0.429485,1,3,0,8.29574,0.27459
-7.74802,0.967486,0.578778,1,3,0,8.02344,0.398868
-7.64469,1,0.835882,1,1,0,7.70037,0.348989
-7.84567,0.797287,1.34629,1,1,0,7.89671,0.25018
-7.84567,0.0166665,1.14727,1,1,0,8.78631,0.25018
-7.85491,0.99984,0.0849439,4,15,0,7.94386,0.248465
-8.52877,0.996789,0.139126,4,15,0,8.55304,0.173648
-8.45493,1,0.225236,1,1,0,8.528,0.17935
-7.68945,0.967116,0.366853,1,3,0,9.32523,0.290787
-7.7918,0.983806,0.5376,2,3,0,7.86173,0.261177
-7.72574,1,0.824921,1,1,0,7.79706,0.278195
-7.72574,0.40423,1.32112,1,1,0,7.78169,0.278195
-8.02006,0.971668,0.355612,1,3,0,8.19542,0.223104
-10.0419,0.817319,0.523976,3,7,0,10.6367,0.645171
-8.77004,1,0.488123,1,1,0,9.82577,0.549106
-8.47009,1,0.774524,2,3,0,8.62235,0.178151
-7.94042,1,1.21969,1,1,0,7.97465,0.443404
-7.66257,0.333342,1.90624,1,3,0,7.66283,0.30375
-7.65474,1,0.447391,1,1,0,7.6619,0.308882
-7.65699,0.753061,0.700034,2,3,0,9.00401,0.360062
-7.63822,1,0.546547,2,3,0,7.65521,0.334753
-7.63839,0.943518,0.847477,2,3,0,7.73517,0.330501
-7.75761,0.910277,1.1176,1,1,0,7.77169,0.269332
-7.75761,0.0400044,1.34045,1,1,0,9.85361,0.269332
-7.66253,0.999237,0.153746,2,7,0,7.85498,0.303774
-7.72623,0.993666,0.236965,2,7,0,7.98489,0.391869
-7.65151,1,0.35736,2,3,0,7.71972,0.355795
-7.81207,0.947434,0.544368,1,3,0,7.99902,0.256818
-7.79503,1,0.718155,1,1,0,7.85298,0.260463
-7.97875,0.887816,1.08077,1,1,0,8.11356,0.228707
-10.0511,0.122717,1.21156,1,1,0,10.3492,0.645732
-7.82891,1,0.192844,3,7,0,9.9946,0.420254
-7.86294,0.9993,0.290334,2,3,0,7.86457,0.427888
-7.99008,0.996043,0.433643,3,7,0,7.99334,0.452338
-8.44114,0.871497,0.638605,1,1,0,8.48711,0.514763
-8.3239,1,0.687075,1,1,0,8.62169,0.500764
-10.7677,0.0862207,1.01248,2,3,0,11.7103,0.685657
-10.6584,0.999013,0.159696,2,3,0,10.9472,0.680012
-10.6622,0.999954,0.23585,2,3,0,10.7808,0.680212
-9.8251,1,0.347181,1,1,0,10.5983,0.631497
-8.51967,1,0.508362,1,1,0,9.57717,0.523554
-7.90537,0.997121,0.740459,2,3,0,8.72777,0.239771
-8.07836,0.964159,1.06575,1,3,0,8.08382,0.466812
-7.6385,1,1.41308,1,1,0,7.72461,0.336834
-7.6385,0.00209234,2.02885,1,1,0,8.10117,0.336834
-7.64373,0.999795,0.288843,2,7,0,7.64454,0.319093
-7.70745,0.994832,0.416753,2,3,0,7.70778,0.284096
-7.79078,0.958795,0.591723,1,3,0,8.02038,0.410871
-7.67023,0.677307,0.770769,2,3,0,9.02142,0.368339
-7.69778,0.976925,0.530597,1,3,0,7.84776,0.287558
-7.65557,1,0.717821,1,1,0,7.68582,0.308289
-7.65557,0.336657,1.01849,1,1,0,8.62511,0.308289
-7.66295,0.998742,0.331494,2,3,0,7.68078,0.303528
-7.67463,0.999459,0.469168,2,3,0,7.67537,0.297313
-7.6473,1,0.662305,2,3,0,7.66748,0.351889
-7.65036,0.998181,0.932245,1,1,0,7.65602,0.354798
-7.70832,0.938405,1.30186,1,1,0,7.71747,0.283795
-7.70832,0.250118,1.59263,1,1,0,8.1669,0.283795
-7.72951,0.997446,0.446273,1,1,0,7.73239,0.277062
-7.80247,0.983519,0.621185,1,1,0,7.81067,0.258844
-8.16861,0.870963,0.836455,1,1,0,8.2086,0.205603
-7.85673,1,0.886,1,1,0,8.12117,0.248133
-7.96694,0.894834,1.22841,1,1,0,7.9734,0.448257
-7.9413,0.526943,1.36363,1,3,0,7.94579,0.234154
-7.65235,0.984185,0.70613,1,3,0,7.92885,0.356501
-7.63862,1,0.94376,1,1,0,7.64414,0.329252
-7.63862,0.244267,1.29891,1,1,0,7.86455,0.329252
-7.64011,0.999611,0.381993,3,7,0,7.6471,0.324889
-7.80046,0.968185,0.52597,1,3,0,7.86947,0.259278
-7.67098,1,0.677502,1,1,0,7.76416,0.299128
-7.67098,0.574878,0.92784,1,3,0,8.5618,0.299128
-7.7255,0.974182,0.541876,2,7,0,7.88731,0.391621
-7.63817,0.979841,0.7035,2,3,0,7.81483,0.333221
-7.77276,0.92962,0.921228,1,1,0,7.77304,0.265577
-7.67615,1,1.08991,1,1,0,7.74882,0.296585
-7.67615,1.55084e-05,1.47769,1,1,0,8.69706,0.296585
-7.63828,0.996636,0.284212,3,7,0,7.82559,0.335374
-7.87636,0.956732,0.384101,1,3,0,8.22107,0.430742
-7.89609,0.996668,0.479214,1,1,0,7.92918,0.434802
-7.78081,0.956854,0.644263,1,3,0,8.20181,0.263678
-8.73247,0.728507,0.800392,1,1,0,8.73334,0.159528
-9.42129,0.966775,0.642199,2,3,0,9.48055,0.12347
-7.65014,0.939887,0.811343,2,3,0,9.69123,0.312506
-10.6014,0.192752,0.972215,2,3,0,10.6196,0.0842122
-8.20479,0.993293,0.28534,3,7,0,11.6657,0.20183
-7.64169,0.947988,0.378966,1,3,0,9.46196,0.34481
-7.64134,0.998516,0.461386,2,3,0,7.65757,0.34422
-7.66879,0.992587,0.615906,2,3,0,7.69303,0.367537
-7.66213,1,0.811182,2,3,0,7.66786,0.304015
-8.2904,0.66168,1.0805,1,1,0,8.35236,0.193492
-7.80264,1,0.772174,2,3,0,8.14818,0.258808
-7.80264,0.954768,1.02622,1,3,0,7.8839,0.258808
-7.80264,0.601355,2.50641,1,1,0,8.28768,0.258808
-7.80264,1.6005e-194,15.9484,1,3,1,8.95921,0.258808
-7.7433,0.772783,1.88119,2,3,0,8.34138,0.397412
-7.87049,0.976869,1.09213,2,3,0,8.00366,0.429504
-7.67378,1,1.25146,2,7,0,7.82932,0.297725
-8.05483,0.90395,1.718,1,3,0,8.10472,0.463105
-7.96808,0.810975,1.8852,2,3,0,8.50599,0.448461
-8.18198,0.920585,1.59942,1,1,0,8.28551,0.482069
-8.18198,0.00404211,1.94431,1,1,0,14.555,0.482069
-8.26026,0.999977,0.132801,6,63,0,8.27065,0.49265
-8.61052,0.997143,0.211843,2,5,0,8.81098,0.533226
-7.63866,0.991453,0.339014,2,7,0,9.65429,0.329066
-7.67269,0.998951,0.536171,2,5,0,7.68152,0.369679
-7.69299,0.974992,0.869961,1,3,0,8.03574,0.289383
-7.76319,0.985333,1.30849,1,1,0,7.76444,0.26792
-8.41499,0.80122,2.02751,2,3,0,8.41535,0.182587
-8.80256,0.970275,1.7756,2,3,0,8.9988,0.552192
-7.64004,1,2.61449,1,1,0,7.95529,0.341686
-7.71942,0.836222,4.19198,1,1,0,7.82058,0.280148
-7.71942,2.06366e-07,4.08004,1,1,0,8.03674,0.280148
-7.66846,0.999794,0.328513,2,5,0,7.74908,0.300437
-7.73225,0.997288,0.530424,2,7,0,7.81706,0.276255
-8.05785,0.963676,0.843907,3,7,0,8.71993,0.463587
-7.70056,0.943991,1.20871,1,3,0,8.48845,0.286533
-7.88721,0.882248,1.62627,2,3,0,8.31047,0.24278
-7.88721,0.59504,1.82538,1,3,0,9.31928,0.24278
-9.27992,0.843693,0.906528,1,3,0,10.2277,0.129771
-7.65491,0.994688,0.916074,2,5,0,9.21749,0.308761
-8.02383,0.921172,1.40953,1,3,0,8.06272,0.222611
-8.18678,0.949881,1.75763,1,1,0,8.29863,0.203688
-7.89357,0.950571,2.36231,1,3,0,7.96919,0.434292
-7.92201,0.415478,3.16549,1,3,0,7.93977,0.237117
-8.07917,0.983293,0.998764,1,1,0,8.0802,0.2157
-7.95739,1,1.46382,1,1,0,8.10431,0.231767
-7.78757,1,2.22871,1,1,0,7.96255,0.262129
-7.78757,0.0207495,3.3705,1,1,0,7.88644,0.262129
-7.85564,0.999114,0.393598,3,7,0,7.89328,0.248332
-7.85144,1,0.598005,2,3,0,7.86291,0.249104
-7.8627,0.998955,0.904696,1,1,0,7.8796,0.247052
-10.5312,0.515384,1.35633,1,3,0,12.0852,0.67326
-10.3448,1,0.594628,2,3,0,10.5918,0.662974
