num_threads,num_cpp_chains,num_julia_chains,min,median,max
1,1,1,31.011854917,31.241992250000003,31.472129583
1,1,2,32.229621958,32.3984482915,32.567274625
1,2,1,63.107034042,63.399926146,63.69281825
1,1,4,32.485959542,33.223635271000006,33.961311
1,4,1,123.736370542,124.19280531300001,124.649240084
4,1,1,30.676258791,30.897780354,31.119301917
4,1,2,30.937340166,31.3616163955,31.785892625
4,2,1,31.581674458,33.0676508955,34.553627333
4,1,4,31.655826583,31.883913479,32.112000375
4,4,1,33.271478083,33.770577125,34.269676167
8,1,1,29.422078833,30.522332978999998,31.622587125
8,1,2,30.795639875,31.1749648125,31.55428975
8,2,1,31.888367792,32.079417042,32.270466292
8,1,4,32.327063125,32.387666875,32.448270625
8,4,1,32.0598275,32.316607104,32.573386708
