num_threads,num_cpp_chains,num_julia_chains,min,median,max
1,1,1,52.30677255,53.309739003000004,54.312705456
1,1,2,60.151600449,61.260962628,62.370324807
1,2,1,106.706279871,108.624172336,110.542064801
1,1,4,107.775038398,108.1955340955,108.616029793
1,4,1,208.808034281,213.465035389,218.122036497
4,1,1,52.235978429,52.3799016975,52.523824966
4,1,2,60.838644395,61.1544043325,61.47016427
4,2,1,60.030132186,60.765977967,61.501823748
4,1,4,107.17197024,107.76040880299999,108.348847366
4,4,1,104.397529356,105.5686741115,106.739818867
8,1,1,56.443848032,56.6267473275,56.809646623
8,1,2,59.283093216,62.451579547,65.620065878
8,2,1,59.753585849,59.906875254499994,60.06016466
8,1,4,106.862698149,107.134995382,107.407292615
8,4,1,101.059836149,103.1960907445,105.33234534
