num_threads,num_cpp_chains,num_chains,min,median,max
4,1,1,33.207006688,40.336573776,42.662164238
4,1,2,60.56031657,66.7779937775,75.739424105
4,1,4,127.280984858,129.504415652,138.672245073
4,2,1,40.755344541,42.237155039499996,84.62657628
4,2,2,65.055482538,124.1587974715,132.931612693
4,2,4,105.737676592,215.9591060595,252.582647171
4,4,1,105.174341316,152.3611464425,155.002563248
4,4,2,98.662821788,238.4927960525,247.823994807
4,4,4,282.937105103,401.0554019515,498.620162485
7,1,1,35.392637591,37.614269737499995,44.079644436
7,1,2,23.398229952,37.314871813500005,75.212284663
7,1,4,60.156054846,125.39703883050001,138.465779568
7,2,1,61.724076518,68.1208237145,70.011957704
7,2,2,46.076562245,72.887892303,113.227300946
7,2,4,97.879428211,218.7118162175,252.847327458
7,4,1,126.996240557,151.15069121250002,167.832965593
7,4,2,114.622112241,222.427253648,247.277391796
7,4,4,261.836777856,372.411519038,486.698557327
9,1,1,33.807317339,37.168076965,38.842975991
9,1,2,25.484260037,69.120661281,70.494720648
9,1,4,51.669357171,97.91859987000001,138.70700181
9,2,1,64.6289474,66.056209378,69.228318638
9,2,2,44.293161266,76.8703356585,129.711039914
9,2,4,154.111841959,250.79648428849998,257.83447309
9,4,1,49.359660735,65.998577295,124.891488643
9,4,2,89.125136572,227.1467813185,251.350663265
9,4,4,205.515180874,456.4798385795,492.035583679
