num_threads,num_cpp_chains,num_chains,min,median,max
1,1,1,71.829244577,71.964251604,72.099258631
1,1,2,72.693408821,73.397924262,74.102439703
1,2,1,142.400103036,142.87584886399998,143.351594692
1,1,4,82.524231579,84.788736545,87.053241511
1,4,1,287.711249016,291.236957083,294.76266515
4,1,1,20.718473771,21.006876525499997,21.29527928
4,1,2,26.714027855,27.7442952665,28.774562678
4,2,1,41.728072513,42.172089015,42.616105517
4,1,4,46.41595605,46.587883848000004,46.759811646
4,4,1,80.734038555,81.536104987,82.338171419
7,1,1,14.868868102,15.4563155305,16.043762959
7,1,2,24.154094403,24.631658616,25.109222829
7,2,1,28.209545955,28.3591930045,28.508840054
7,1,4,49.437988126,49.8503538615,50.262719597
7,4,1,52.981269933,53.409604035499996,53.837938138
9,1,1,13.494041213,13.887559208999999,14.281077205
9,1,2,25.296134576,25.352175704,25.408216832
9,2,1,25.458568947,25.5406925345,25.622816122
9,1,4,49.458109945,49.8924231915,50.326736438
9,4,1,50.69271001,50.896129109499995,51.099548209
