# stan_version_major = 2
# stan_version_minor = 28
# stan_version_patch = 2
# model = logistic0_model
# start_datetime = 2021-12-27 17:13:26 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 75
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /Users/rob/.julia/dev/Stan/Examples/RedCardsStudy/tmp0/logistic0_data_1.R
# init = 2 (Default)
# random
#   seed = 67863494 (Default)
# output
#   file = /Users/rob/.julia/dev/Stan/Examples/RedCardsStudy/tmp0/logistic0_chain_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 59e2660
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta.1,beta.2
# Adaptation terminated
# Step size = 0.574785
# Diagonal elements of inverse mass matrix:
# 0.00126603, 0.00701337
-10253.6,1,0.574785,2,3,0,10253.9,-5.5437,0.337434
-10253.5,1,0.574785,2,3,0,10253.6,-5.54936,0.305948
-10253.9,0.884523,0.574785,1,3,0,10254.2,-5.52934,0.341742
-10254,0.804098,0.574785,2,3,0,10255.5,-5.53875,0.362514
-10254,0.995977,0.574785,3,7,0,10254.5,-5.5319,0.349842
-10253.8,0.889798,0.574785,2,7,0,10254.9,-5.54737,0.268205
-10254.3,0.904225,0.574785,2,5,0,10258.3,-5.49227,0.193155
-10254.9,0.891922,0.574785,2,3,0,10255,-5.50289,0.153149
-10254,0.992743,0.574785,2,3,0,10255.2,-5.51087,0.303558
-10255.3,0.897025,0.574785,2,3,0,10255.3,-5.49855,0.330448
-10253.7,0.914536,0.574785,2,3,0,10255.8,-5.51065,0.230952
-10253.9,0.96985,0.574785,2,3,0,10253.9,-5.5191,0.217973
-10253.7,0.507953,0.574785,2,3,0,10259.2,-5.51706,0.226106
-10254.2,0.962035,0.574785,2,3,0,10254.5,-5.49039,0.213915
-10254.7,0.916293,0.574785,1,1,0,10254.7,-5.47999,0.216974
-10253.8,0.918865,0.574785,2,7,0,10255.6,-5.55912,0.307472
-10254.1,0.95973,0.574785,2,5,0,10255.5,-5.49879,0.201744
-10254.3,0.959927,0.574785,2,3,0,10254.5,-5.50574,0.182714
-10254.8,0.973254,0.574785,2,3,0,10254.8,-5.50597,0.159003
-10253.6,0.996832,0.574785,2,7,0,10255.5,-5.53305,0.326125
-10253.8,0.996744,0.574785,3,7,0,10254,-5.50415,0.23981
-10253.8,0.959243,0.574785,2,7,0,10254.9,-5.56246,0.316719
-10254,0.961392,0.574785,2,5,0,10254.6,-5.50706,0.294221
-10253.8,0.912341,0.574785,2,3,0,10254.8,-5.50728,0.260759
-10257.3,0.437974,0.574785,2,3,0,10260.1,-5.46458,0.289123
-10253.8,0.844664,0.574785,2,7,0,10259.9,-5.5621,0.359492
-10254.9,0.718305,0.574785,1,3,0,10255.5,-5.5758,0.285604
-10254.3,0.993469,0.574785,1,3,0,10255.8,-5.57922,0.369429
-10254.5,1,0.574785,2,3,0,10254.6,-5.57627,0.407216
-10254.5,0.998648,0.574785,3,7,0,10254.7,-5.58296,0.380921
-10255.3,0.845514,0.574785,2,3,0,10255.5,-5.59446,0.336201
-10255,1,0.574785,2,7,0,10256.2,-5.48049,0.255146
-10255.4,1,0.574785,3,7,0,10255.9,-5.50724,0.135095
-10258.9,0.607535,0.574785,2,7,0,10260.8,-5.48835,0.395122
-10256.8,1,0.574785,1,1,0,10258.9,-5.49827,0.373043
-10253.9,1,0.574785,2,3,0,10256.3,-5.55292,0.275033
-10257.8,0.720567,0.574785,3,7,0,10258.8,-5.48917,0.0552793
-10254.8,1,0.574785,2,7,0,10257.6,-5.48287,0.250537
-10254.5,1,0.574785,2,3,0,10254.9,-5.51544,0.180346
-10254.1,0.997183,0.574785,2,7,0,10254.7,-5.53617,0.363289
-10253.6,0.940474,0.574785,2,5,0,10254.9,-5.51527,0.261375
-10254.3,0.962099,0.574785,2,3,0,10254.4,-5.4976,0.182991
-10255.7,0.693174,0.574785,2,3,0,10256.1,-5.52673,0.151008
-10254.7,0.853482,0.574785,2,3,0,10257,-5.48168,0.227303
-10254.4,1,0.574785,1,1,0,10254.7,-5.48708,0.229845
-10254.4,0.779807,0.574785,2,5,0,10256.8,-5.54062,0.220036
-10253.8,0.999229,0.574785,2,7,0,10254.3,-5.52285,0.319411
-10253.5,0.98311,0.574785,2,7,0,10253.9,-5.54374,0.302628
