# stan_version_major = 2
# stan_version_minor = 25
# stan_version_patch = 0
# model = logistic0_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
# id = 3
# data
#   file = /Users/rob/.julia/dev/Stan/Examples/RedCardsStudy/tmp0/logistic0_data_3.R
# init = 2 (Default)
# random
#   seed = 3070686007 (Default)
# output
#   file = /Users/rob/.julia/dev/Stan/Examples/RedCardsStudy/tmp0/logistic0_chain_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
# num_threads = 1
# stanc_version = stanc3 8188136
# stancflags = --warn-pedantic --O
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta.1,beta.2
# Adaptation terminated
# Step size = 0.531055
# Diagonal elements of inverse mass matrix:
# 0.00138114, 0.00741952
-10254.3,0.755937,0.531055,2,7,0,10256.9,-5.54898,0.391333
-10256.2,0.517237,0.531055,1,3,0,10258.5,-5.59232,0.284565
-10254.3,1,0.531055,2,3,0,10256.4,-5.56294,0.274853
-10254.6,0.993304,0.531055,2,7,0,10254.8,-5.48913,0.267948
-10253.9,1,0.531055,2,3,0,10254.6,-5.49944,0.231371
-10253.8,0.998628,0.531055,2,3,0,10254,-5.50306,0.247017
-10254.3,0.870643,0.531055,2,5,0,10255.5,-5.57822,0.366188
-10254.1,0.974652,0.531055,3,7,0,10254.6,-5.49379,0.227724
-10254.4,0.849041,0.531055,2,3,0,10254.9,-5.51337,0.181028
-10255.1,0.96251,0.531055,2,3,0,10255.6,-5.48116,0.144347
-10254.5,0.886864,0.531055,1,3,0,10256.6,-5.51709,0.180298
-10254.1,0.958202,0.531055,2,3,0,10255,-5.50799,0.196202
-10253.9,0.959791,0.531055,2,3,0,10254.6,-5.50024,0.238685
-10253.6,0.982344,0.531055,3,7,0,10254.7,-5.53214,0.317888
-10254,0.854652,0.531055,2,7,0,10255.3,-5.53297,0.22676
-10254.4,0.952483,0.531055,2,7,0,10254.7,-5.52278,0.352126
-10253.7,1,0.531055,2,3,0,10254.2,-5.55422,0.299796
-10253.5,0.999397,0.531055,3,7,0,10253.9,-5.5198,0.282083
-10256,0.493509,0.531055,1,3,0,10257.3,-5.56287,0.209808
-10254.1,1,0.531055,2,3,0,10255.7,-5.53043,0.352451
-10253.5,1,0.531055,2,3,0,10254,-5.54331,0.299513
-10253.8,0.977665,0.531055,2,5,0,10253.9,-5.50562,0.236652
-10253.8,0.948756,0.531055,2,5,0,10254.3,-5.54244,0.253294
-10254.1,0.991256,0.531055,2,5,0,10254.7,-5.49326,0.216014
-10254.4,0.995871,0.531055,2,3,0,10254.5,-5.49908,0.178774
-10253.9,1,0.531055,2,3,0,10254.4,-5.50311,0.215492
-10254.7,0.796379,0.531055,3,7,0,10256.6,-5.52879,0.184621
-10255.2,0.892839,0.531055,1,1,0,10255.4,-5.53284,0.173952
-10254.1,0.953232,0.531055,2,3,0,10255.8,-5.50568,0.195348
-10253.7,0.990875,0.531055,2,3,0,10254.2,-5.51674,0.231431
-10253.7,0.992963,0.531055,2,3,0,10253.8,-5.51389,0.228923
-10254,0.983498,0.531055,2,3,0,10254.1,-5.49925,0.219228
-10254.5,0.795093,0.531055,2,3,0,10255.2,-5.49376,0.27876
-10254.5,0.863162,0.531055,1,3,0,10256.3,-5.51081,0.17629
-10253.8,0.92648,0.531055,2,7,0,10255.4,-5.52537,0.323741
-10254.3,0.810211,0.531055,2,3,0,10255.5,-5.54894,0.240132
-10253.5,0.983158,0.531055,2,7,0,10255.2,-5.54821,0.325886
-10254.2,0.952619,0.531055,2,7,0,10255.2,-5.57196,0.382952
-10254,0.984546,0.531055,2,3,0,10254.4,-5.55745,0.378909
-10253.6,0.871391,0.531055,2,5,0,10254.9,-5.5389,0.270327
-10253.9,0.94334,0.531055,1,3,0,10253.9,-5.54767,0.259676
-10254.6,0.949432,0.531055,2,3,0,10254.6,-5.55739,0.247095
-10254.7,1,0.531055,2,3,0,10255,-5.49655,0.298458
-10253.7,1,0.531055,2,3,0,10254.7,-5.5068,0.242735
-10256.6,0.412887,0.531055,2,3,0,10258.6,-5.50252,0.37799
-10258.3,0.87016,0.531055,2,3,0,10259.4,-5.54317,0.116076
-10253.7,0.758496,0.531055,2,3,0,10259.9,-5.51247,0.271005
-10254.4,0.875579,0.531055,2,7,0,10255.9,-5.50677,0.175573
-10253.8,0.888825,0.531055,2,7,0,10255.5,-5.53676,0.34415
-10254.4,0.498756,0.531055,2,3,0,10259.4,-5.51914,0.185891
-10254.5,0.822227,0.531055,2,3,0,10256.5,-5.48573,0.234844
-10253.6,1,0.531055,2,3,0,10254.5,-5.52729,0.245437
-10253.8,0.953241,0.531055,2,3,0,10254.1,-5.52074,0.219636
-10254.1,0.998512,0.531055,3,7,0,10254.2,-5.49562,0.236381
-10254.3,0.996693,0.531055,2,3,0,10254.5,-5.50662,0.184485
-10254.9,0.991148,0.531055,3,7,0,10255.2,-5.58994,0.419475
-10254.8,1,0.531055,3,7,0,10255,-5.58739,0.413906
-10254.8,0.999863,0.531055,2,3,0,10254.9,-5.58752,0.414501
-10253.6,0.967768,0.531055,2,3,0,10255.1,-5.5531,0.336479
-10253.5,0.974518,0.531055,2,7,0,10254.3,-5.53102,0.309645
-10253.9,0.894315,0.531055,2,3,0,10254.3,-5.53837,0.355367
-10253.7,1,0.531055,2,3,0,10253.9,-5.55979,0.319711
-10254,0.987751,0.531055,2,7,0,10254.5,-5.496,0.233087
-10253.5,0.999025,0.531055,2,7,0,10254.3,-5.54035,0.276654
-10253.5,0.999705,0.531055,2,7,0,10253.5,-5.53525,0.309045
-10253.5,0.850114,0.531055,2,3,0,10254.5,-5.52791,0.259123
-10253.5,0.633426,0.531055,1,3,0,10255.4,-5.52791,0.259123
-10253.4,0.996458,0.531055,2,3,0,10253.5,-5.53182,0.276751
-10254.1,0.897283,0.531055,2,3,0,10254.3,-5.55571,0.271053
-10254.4,0.989775,0.531055,2,7,0,10255.3,-5.48717,0.234882
-10253.5,0.958386,0.531055,2,7,0,10255.2,-5.5287,0.309705
-10253.5,0.974861,0.531055,1,3,0,10253.8,-5.5428,0.283361
-10253.5,0.92594,0.531055,2,3,0,10254.1,-5.53084,0.308771
-10253.5,0.979058,0.531055,2,3,0,10253.7,-5.53759,0.324565
-10253.8,0.934126,0.531055,2,5,0,10254.2,-5.5154,0.220698
-10254.8,0.909231,0.531055,2,7,0,10254.9,-5.51767,0.169178
-10254.4,0.995949,0.531055,3,7,0,10255.1,-5.58103,0.384151
-10253.8,0.999167,0.531055,2,3,0,10254.4,-5.56382,0.355352
-10254.2,0.975958,0.531055,3,7,0,10254.5,-5.57098,0.386367
-10254.2,0.873989,0.531055,1,3,0,10255.3,-5.57098,0.386367
-10253.9,1,0.531055,2,3,0,10254.2,-5.56561,0.348086
-10254.6,0.810647,0.531055,2,3,0,10255.8,-5.57667,0.410089
-10254.3,0.994699,0.531055,2,3,0,10254.7,-5.56278,0.396268
-10254.4,0.985817,0.531055,1,1,0,10254.4,-5.56442,0.404048
-10253.6,0.972373,0.531055,2,7,0,10254.9,-5.53407,0.320436
-10253.6,0.979707,0.531055,2,7,0,10254.7,-5.51465,0.263331
-10253.5,0.996968,0.531055,3,7,0,10253.6,-5.54044,0.325254
-10253.7,0.982321,0.531055,2,7,0,10254.3,-5.50979,0.23508
-10254,0.936005,0.531055,3,7,0,10254.2,-5.52573,0.21429
-10254.9,0.760795,0.531055,3,7,0,10256.4,-5.52531,0.172755
-10253.8,0.985172,0.531055,2,5,0,10256.3,-5.55299,0.363779
-10253.5,1,0.531055,2,3,0,10253.8,-5.54755,0.309282
-10256.1,0.686983,0.531055,2,3,0,10256.8,-5.50775,0.378275
-10254.5,1,0.531055,2,7,0,10256.1,-5.53487,0.20466
-10253.9,0.99091,0.531055,2,3,0,10254.8,-5.50502,0.214385
-10253.7,0.969526,0.531055,1,3,0,10254.3,-5.5106,0.264062
-10256.2,0.865281,0.531055,2,7,0,10257.2,-5.61371,0.452704
-10253.5,0.909991,0.531055,2,5,0,10257.2,-5.51942,0.277612
-10254.1,0.864952,0.531055,2,3,0,10254.6,-5.5117,0.31342
-10255.7,0.863574,0.531055,2,7,0,10256.5,-5.48047,0.289727
-10253.7,1,0.531055,2,3,0,10255.4,-5.52477,0.238614
-10253.5,0.995877,0.531055,2,5,0,10253.9,-5.53556,0.265267
-10253.5,0.988905,0.531055,2,3,0,10253.6,-5.53693,0.28224
-10253.8,0.96079,0.531055,3,7,0,10253.9,-5.5222,0.224601
-10253.6,0.99542,0.531055,2,7,0,10254.2,-5.53456,0.329779
-10253.7,0.997072,0.531055,2,7,0,10254,-5.54531,0.351946
-10254.8,0.705267,0.531055,2,3,0,10256.8,-5.59091,0.377952
-10254.8,0.99414,0.531055,1,1,0,10254.9,-5.59113,0.376244
-10254.4,0.895517,0.531055,2,7,0,10255.9,-5.55377,0.398133
-10253.9,1,0.531055,2,3,0,10254.3,-5.56619,0.332333
-10254.1,0.919581,0.531055,3,7,0,10255.9,-5.55594,0.383799
-10253.9,0.875972,0.531055,2,7,0,10255.7,-5.50828,0.284537
-10253.6,0.998629,0.531055,2,3,0,10253.9,-5.51786,0.251634
-10253.7,0.947477,0.531055,2,7,0,10254.1,-5.53912,0.253388
-10254.1,0.986517,0.531055,3,7,0,10254.5,-5.49849,0.201582
-10254.9,0.715102,0.531055,1,3,0,10256.2,-5.49202,0.295667
-10253.9,1,0.531055,2,3,0,10254.9,-5.51226,0.213557
-10253.9,0.999823,0.531055,2,3,0,10254.1,-5.50123,0.235464
-10255.7,0.863514,0.531055,2,3,0,10255.7,-5.5035,0.124143
-10255,1,0.531055,2,3,0,10255.6,-5.49108,0.144032
-10254.8,1,0.531055,3,7,0,10255,-5.49004,0.155147
-10253.9,0.973396,0.531055,2,7,0,10255.8,-5.50212,0.233169
-10256.8,0.61926,0.531055,2,3,0,10257.6,-5.45809,0.24724
-10255.9,0.992947,0.531055,2,7,0,10257.3,-5.58046,0.260553
-10253.7,0.897806,0.531055,2,3,0,10256.8,-5.54769,0.275575
-10253.4,0.990702,0.531055,2,3,0,10253.8,-5.53056,0.291528
-10256,0.910377,0.531055,3,7,0,10256.1,-5.47875,0.105379
-10255.5,0.92361,0.531055,3,7,0,10256.9,-5.49224,0.122982
-10255.7,0.837024,0.531055,2,3,0,10256.8,-5.47507,0.270392
-10255.8,1,0.531055,2,3,0,10256.4,-5.46841,0.2423
-10255.6,1,0.531055,2,3,0,10256.2,-5.465,0.206581
-10255.6,0.821109,0.531055,1,1,0,10256.4,-5.465,0.206581
-10253.9,1,0.531055,2,3,0,10255.8,-5.53607,0.238588
-10253.6,0.957611,0.531055,1,3,0,10254.2,-5.51605,0.279325
-10254.9,0.943631,0.531055,3,15,0,10255.1,-5.58008,0.429225
-10255.8,0.972814,0.531055,3,7,0,10256.5,-5.60782,0.431522
-10253.6,0.993335,0.531055,2,7,0,10256.1,-5.51499,0.281659
-10254.7,0.800429,0.531055,3,7,0,10255.8,-5.49683,0.158653
-10254.7,0.908925,0.531055,2,3,0,10256,-5.47965,0.196196
-10254.9,0.96499,0.531055,2,3,0,10255.2,-5.47912,0.233274
-10254.2,1,0.531055,1,1,0,10254.7,-5.49081,0.22678
-10254,1,0.531055,2,3,0,10254.5,-5.51455,0.20167
-10253.7,0.960157,0.531055,3,7,0,10254.6,-5.5357,0.336267
-10253.8,0.974071,0.531055,1,1,0,10253.8,-5.53318,0.339699
-10257.2,0.814217,0.531055,2,7,0,10260,-5.47724,0.0654642
-10254.7,1,0.531055,2,3,0,10257.2,-5.48495,0.253725
-10253.5,0.997128,0.531055,3,7,0,10255.3,-5.52066,0.266223
-10253.7,0.992513,0.531055,2,3,0,10253.7,-5.51289,0.232376
-10253.8,0.938345,0.531055,2,7,0,10254.3,-5.52165,0.320239
-10256.1,0.650862,0.531055,1,3,0,10256.2,-5.49846,0.356434
-10254.4,1,0.531055,2,5,0,10256.3,-5.51667,0.183883
-10254.9,0.910274,0.531055,3,7,0,10255.9,-5.54933,0.215587
-10253.6,0.984715,0.531055,1,3,0,10255.2,-5.51676,0.253167
-10255.1,0.898134,0.531055,2,3,0,10255.4,-5.47957,0.15126
-10254.2,0.974342,0.531055,2,7,0,10256.4,-5.57036,0.386934
-10255.8,0.904978,0.531055,2,7,0,10257.6,-5.4679,0.121444
-10255.5,0.982325,0.531055,2,3,0,10256,-5.46582,0.161618
-10256.3,0.893028,0.531055,2,3,0,10256.8,-5.50365,0.106961
-10255.4,0.932627,0.531055,3,7,0,10257.3,-5.47426,0.249698
-10254.6,0.833925,0.531055,2,3,0,10257.2,-5.52016,0.178272
-10253.5,0.996432,0.531055,2,7,0,10255.1,-5.53956,0.308714
-10253.6,0.964795,0.531055,2,7,0,10253.7,-5.53939,0.261493
-10254.4,0.914985,0.531055,2,7,0,10255.5,-5.5699,0.295848
-10254.2,0.767327,0.531055,2,3,0,10255.6,-5.54,0.371274
-10254.2,0.94109,0.531055,1,3,0,10255.3,-5.57574,0.366888
-10255.5,0.639431,0.531055,1,3,0,10257.3,-5.57601,0.2606
-10253.6,0.99528,0.531055,2,7,0,10255.3,-5.51965,0.295633
-10254.1,0.888525,0.531055,1,1,0,10254.1,-5.51298,0.31421
-10254,0.998559,0.531055,3,7,0,10254.3,-5.52446,0.213874
-10254.3,0.962816,0.531055,2,7,0,10255.1,-5.55457,0.394285
-10254.5,0.986913,0.531055,2,3,0,10254.9,-5.58447,0.354366
-10253.7,1,0.531055,2,3,0,10254.5,-5.55666,0.344226
-10253.6,0.995447,0.531055,2,3,0,10253.7,-5.5552,0.324179
-10253.7,0.978676,0.531055,2,7,0,10253.9,-5.52317,0.311349
-10254.1,0.832983,0.531055,2,3,0,10255,-5.50435,0.289125
-10253.6,0.999606,0.531055,3,7,0,10254.1,-5.52462,0.242534
-10254.7,0.966634,0.531055,2,3,0,10254.7,-5.48063,0.185757
-10255.7,0.767333,0.531055,2,7,0,10257.2,-5.55044,0.190646
-10254.9,1,0.531055,2,3,0,10255.8,-5.54961,0.217222
-10253.9,0.88597,0.531055,2,3,0,10256.2,-5.5557,0.282313
-10254.2,0.923246,0.531055,1,1,0,10254.3,-5.55693,0.26497
-10254.7,0.983012,0.531055,2,3,0,10255.3,-5.5609,0.418368
-10255.4,0.859233,0.531055,1,1,0,10255.5,-5.55772,0.439469
-10255.4,0.941801,0.531055,3,7,0,10256.6,-5.53467,0.408588
-10255.1,0.992944,0.531055,2,5,0,10256.1,-5.52032,0.373675
-10256.8,0.986852,0.531055,3,7,0,10257.7,-5.46803,0.0768526
-10256.2,1,0.531055,2,3,0,10256.8,-5.47195,0.0987768
-10255.4,0.980351,0.531055,2,3,0,10256.5,-5.47853,0.129944
-10256,0.868399,0.531055,3,7,0,10257.1,-5.61096,0.440152
-10256,0.9494,0.531055,2,3,0,10256.6,-5.61093,0.392946
-10256.5,0.891548,0.531055,2,3,0,10258.3,-5.58516,0.49015
-10256.3,0.963926,0.531055,2,7,0,10260.1,-5.48593,0.0956846
-10255.2,0.893094,0.531055,2,3,0,10257.5,-5.50524,0.143253
-10257.5,0.847816,0.531055,2,3,0,10257.7,-5.45127,0.246437
-10255.5,0.989999,0.531055,2,7,0,10259.3,-5.48823,0.3071
-10254.8,0.993292,0.531055,3,7,0,10256.4,-5.57865,0.299236
-10253.7,0.96147,0.531055,2,3,0,10255.1,-5.55027,0.348957
-10253.7,0.567579,0.531055,1,3,0,10256.2,-5.55027,0.348957
-10253.5,0.99239,0.531055,2,7,0,10254.1,-5.5231,0.272453
-10253.7,0.939441,0.531055,3,7,0,10254,-5.51304,0.231678
-10253.5,0.997677,0.531055,2,7,0,10253.8,-5.5403,0.315289
-10253.5,0.997604,0.531055,2,3,0,10253.5,-5.54207,0.326064
-10253.7,0.986018,0.531055,1,3,0,10254,-5.55674,0.348113
-10253.6,0.958388,0.531055,2,7,0,10254.6,-5.53036,0.321059
-10255,0.877671,0.531055,3,7,0,10255.8,-5.49826,0.147843
-10254.8,0.987908,0.531055,2,3,0,10255.4,-5.48375,0.159312
-10254.8,0.936381,0.531055,2,3,0,10255.4,-5.50533,0.158971
-10254.6,1,0.531055,2,3,0,10255,-5.48082,0.203567
-10253.8,1,0.531055,2,3,0,10254.6,-5.51125,0.22202
-10253.8,0.906514,0.531055,2,5,0,10254.9,-5.5587,0.364156
-10253.8,0.646138,0.531055,1,3,0,10255.6,-5.5587,0.364156
-10254,0.935585,0.531055,2,3,0,10254.2,-5.5715,0.339954
-10253.8,0.93223,0.531055,2,7,0,10255.7,-5.51985,0.222353
-10254.2,0.824979,0.531055,2,7,0,10255.7,-5.51126,0.319076
-10255.4,0.742611,0.531055,1,1,0,10255.5,-5.49861,0.333602
-10255,0.992724,0.531055,2,7,0,10256.7,-5.49598,0.146032
-10254.9,0.894752,0.531055,3,7,0,10256.5,-5.56584,0.255792
-10254.8,0.797805,0.531055,2,3,0,10257.9,-5.52548,0.37417
-10253.4,1,0.531055,2,3,0,10254.9,-5.53921,0.303409
-10257.9,0.563035,0.531055,2,3,0,10258.8,-5.59496,0.244203
-10254.9,0.98575,0.531055,2,7,0,10258.1,-5.48902,0.28356
-10254.7,0.97937,0.531055,2,3,0,10255.4,-5.55477,0.236657
-10254.8,0.961713,0.531055,1,1,0,10255.1,-5.55847,0.238975
-10254.2,0.982558,0.531055,2,5,0,10256.1,-5.57232,0.317296
-10254.3,0.962387,0.531055,3,7,0,10254.7,-5.54724,0.234555
-10254,0.872995,0.531055,2,3,0,10255.8,-5.51843,0.324463
-10254.5,0.774571,0.531055,2,3,0,10256.5,-5.53803,0.385706
-10254.3,1,0.531055,2,3,0,10254.7,-5.54649,0.233949
-10253.5,1,0.531055,1,3,0,10254.3,-5.52667,0.267926
-10253.7,0.685704,0.531055,2,3,0,10256.1,-5.51275,0.23597
-10253.7,0.948496,0.531055,2,7,0,10254.5,-5.55516,0.297782
-10253.7,0.98431,0.531055,1,3,0,10254.1,-5.55408,0.346637
-10253.7,0.918091,0.531055,3,7,0,10254.2,-5.50924,0.240908
-10254.9,0.706051,0.531055,1,3,0,10256,-5.50487,0.332005
-10253.8,0.991718,0.531055,1,3,0,10255.4,-5.50494,0.255551
-10253.8,1,0.531055,3,7,0,10253.9,-5.51021,0.227198
-10254.8,0.955972,0.531055,2,3,0,10254.9,-5.48126,0.166777
-10255.5,0.88282,0.531055,2,3,0,10255.7,-5.49295,0.123979
-10253.6,0.942586,0.531055,2,7,0,10257.4,-5.54953,0.303156
-10253.4,0.997662,0.531055,2,7,0,10253.6,-5.53307,0.284533
-10253.7,0.987165,0.531055,3,7,0,10253.8,-5.50725,0.245568
-10253.6,0.967431,0.531055,2,7,0,10254.3,-5.53601,0.324415
-10253.8,0.981271,0.531055,2,3,0,10253.8,-5.55314,0.284294
-10253.5,1,0.531055,2,3,0,10253.8,-5.54621,0.310228
-10253.5,0.966049,0.531055,2,5,0,10253.8,-5.5206,0.267808
-10257.9,0.657608,0.531055,3,7,0,10258.9,-5.43459,0.16471
-10257.5,1,0.531055,1,1,0,10258.3,-5.43925,0.173636
-10253.8,0.884273,0.531055,3,7,0,10258.8,-5.50658,0.258544
-10253.7,0.936644,0.531055,3,7,0,10254.2,-5.51049,0.277512
-10253.6,1,0.531055,1,1,0,10253.7,-5.5151,0.273745
-10253.7,0.886582,0.531055,3,7,0,10254.4,-5.5203,0.227181
-10254.9,0.849608,0.531055,2,7,0,10255.9,-5.53472,0.393825
-10254.2,1,0.531055,2,7,0,10254.8,-5.56351,0.286929
-10254.1,0.819988,0.531055,2,3,0,10256.1,-5.50711,0.295869
-10254.4,0.96637,0.531055,2,7,0,10254.7,-5.5108,0.32673
-10253.6,0.997121,0.531055,2,7,0,10254.5,-5.55237,0.311633
-10254.5,0.976891,0.531055,2,7,0,10254.8,-5.58073,0.400876
-10255.1,0.791074,0.531055,2,3,0,10256.8,-5.59346,0.419952
-10253.4,0.97292,0.531055,2,7,0,10255.5,-5.5283,0.286926
-10253.7,0.956003,0.531055,2,7,0,10253.9,-5.53895,0.342617
-10255.1,0.609605,0.531055,2,3,0,10256.7,-5.49756,0.318106
-10253.4,0.963297,0.531055,2,3,0,10255.3,-5.52958,0.29062
-10256,0.693649,0.531055,2,7,0,10257.3,-5.54677,0.442632
-10255.3,1,0.531055,2,3,0,10256,-5.55029,0.428755
-10254.3,1,0.531055,1,1,0,10255.1,-5.55842,0.398691
-10255.7,0.854208,0.531055,2,3,0,10256.7,-5.60767,0.415681
-10256.4,0.991689,0.531055,2,3,0,10256.6,-5.61845,0.444261
-10257.6,0.775196,0.531055,1,1,0,10257.7,-5.63313,0.421939
-10257.1,1,0.531055,3,7,0,10258.2,-5.6044,0.509944
-10256.3,1,0.531055,1,1,0,10257,-5.60315,0.480611
-10254,0.990121,0.531055,3,7,0,10257.2,-5.57058,0.337479
-10255.2,0.933538,0.531055,2,7,0,10255.6,-5.59823,0.412122
-10255.1,1,0.531055,3,15,0,10255.2,-5.47939,0.147282
-10255.2,0.965772,0.531055,3,15,0,10255.8,-5.57839,0.444897
-10254.7,1,0.531055,3,7,0,10255.3,-5.5878,0.400645
-10255.2,0.964905,0.531055,2,3,0,10255.9,-5.59027,0.439954
-10257,0.879146,0.531055,2,3,0,10257.1,-5.62619,0.427309
-10255.7,0.959465,0.531055,2,7,0,10258,-5.54255,0.430235
-10253.8,1,0.531055,2,7,0,10255.4,-5.55682,0.293624
-10253.4,0.980296,0.531055,2,7,0,10254.3,-5.53032,0.292514
-10253.7,0.988834,0.531055,2,7,0,10253.8,-5.51549,0.229986
-10253.5,0.999014,0.531055,2,7,0,10253.8,-5.54157,0.325856
-10254.2,0.93465,0.531055,2,7,0,10255.3,-5.49062,0.217495
-10253.6,0.999875,0.531055,2,7,0,10254.2,-5.52329,0.245063
-10253.6,0.939334,0.531055,2,7,0,10255.3,-5.53869,0.328748
-10253.8,0.969077,0.531055,2,7,0,10253.9,-5.5477,0.26834
-10254.8,0.930322,0.531055,2,3,0,10254.8,-5.56479,0.258197
-10253.6,0.996519,0.531055,2,7,0,10255.1,-5.51684,0.249795
-10255,0.906135,0.531055,2,3,0,10255.3,-5.4798,0.155617
-10253.4,0.99346,0.531055,2,7,0,10255.1,-5.53132,0.286995
-10253.6,0.981422,0.531055,2,7,0,10253.7,-5.54239,0.335894
-10253.5,1,0.531055,2,7,0,10253.6,-5.5403,0.281773
-10253.5,0.788699,0.531055,1,3,0,10254.6,-5.5403,0.281773
-10254,0.916118,0.531055,2,7,0,10254.4,-5.52773,0.218502
-10253.9,1,0.531055,2,3,0,10254,-5.52748,0.223888
-10253.6,0.933368,0.531055,2,7,0,10254.6,-5.51956,0.296642
-10253.7,0.957564,0.531055,2,3,0,10254,-5.54683,0.279185
-10254.2,0.951717,0.531055,2,7,0,10254.4,-5.56458,0.289797
-10253.4,0.9756,0.531055,2,7,0,10254.8,-5.53161,0.29457
-10253.6,0.96949,0.531055,1,3,0,10253.6,-5.52666,0.309962
-10253.5,0.990407,0.531055,2,5,0,10253.8,-5.51839,0.259041
-10254.2,0.972595,0.531055,2,3,0,10254.2,-5.4977,0.196378
-10254.4,0.97512,0.531055,2,3,0,10254.8,-5.48952,0.18717
-10254.2,0.977754,0.531055,2,3,0,10254.7,-5.50754,0.191671
-10253.5,0.999295,0.531055,2,7,0,10254.2,-5.52035,0.269409
-10253.5,0.990103,0.531055,3,7,0,10253.9,-5.52857,0.289429
-10253.5,0.966415,0.531055,2,3,0,10253.7,-5.54262,0.298913
-10253.7,0.965933,0.531055,3,7,0,10254.9,-5.55734,0.334605
-10254,0.936701,0.531055,2,7,0,10255.2,-5.49739,0.249778
-10253.8,0.84151,0.531055,3,7,0,10255.1,-5.5334,0.237079
-10253.8,0.988015,0.531055,2,7,0,10254.3,-5.54776,0.265272
-10253.7,0.938285,0.531055,2,3,0,10254.5,-5.55501,0.295619
-10254.2,0.818271,0.531055,1,3,0,10255.1,-5.52553,0.3502
-10254.5,0.976797,0.531055,2,3,0,10254.6,-5.52019,0.350971
-10254.5,0.99629,0.531055,3,7,0,10255.2,-5.52753,0.366272
-10254.2,0.995185,0.531055,2,7,0,10255.1,-5.5288,0.208354
-10255.2,0.903041,0.531055,3,7,0,10255.5,-5.4894,0.299836
-10254.3,0.998103,0.531055,2,5,0,10255.5,-5.51027,0.319665
-10254.2,1,0.531055,1,1,0,10254.5,-5.50991,0.312633
-10254.2,0.612032,0.531055,1,1,0,10255.6,-5.50991,0.312633
-10253.5,1,0.531055,2,3,0,10254.1,-5.5373,0.272045
-10253.6,0.984755,0.531055,2,5,0,10253.8,-5.51854,0.23987
-10253.5,0.905656,0.531055,2,3,0,10254.3,-5.52277,0.274449
-10253.8,0.960245,0.531055,2,7,0,10254.1,-5.50457,0.260052
-10254.2,0.944685,0.531055,2,7,0,10254.6,-5.50845,0.306787
-10255.5,0.929104,0.531055,2,7,0,10256.2,-5.60394,0.381411
-10256,1,0.531055,2,3,0,10256.2,-5.61191,0.410395
-10254.7,0.976153,0.531055,2,3,0,10256.5,-5.56225,0.416662
-10254.6,1,0.531055,2,3,0,10255,-5.58502,0.396841
-10254.7,0.994992,0.531055,1,1,0,10254.7,-5.58699,0.400104
-10253.8,0.960551,0.531055,1,3,0,10255.9,-5.56418,0.332107
-10253.6,0.846972,0.531055,2,7,0,10254.9,-5.51712,0.280296
-10253.9,0.855539,0.531055,2,3,0,10254.5,-5.51929,0.321024
-10253.6,1,0.531055,2,3,0,10253.9,-5.52706,0.310957
-10253.4,1,0.531055,1,3,0,10253.6,-5.53216,0.292923
-10254.4,0.872455,0.531055,3,7,0,10254.8,-5.49334,0.264355
-10254.2,1,0.531055,1,1,0,10254.4,-5.49628,0.262027
-10255.1,0.953718,0.531055,2,7,0,10255.6,-5.47523,0.228825
-10254.2,1,0.531055,2,7,0,10255.1,-5.54533,0.236965
-10253.8,0.996524,0.531055,2,7,0,10254.5,-5.52363,0.229198
-10255.7,0.850088,0.531055,2,3,0,10255.8,-5.46939,0.245487
-10255,1,0.531055,3,7,0,10255.7,-5.54364,0.201089
-10255.2,0.959177,0.531055,2,3,0,10255.9,-5.51917,0.37589
-10253.6,1,0.531055,1,3,0,10255,-5.54295,0.339049
-10253.5,1,0.531055,2,3,0,10253.6,-5.53928,0.289345
-10254,0.915646,0.531055,2,7,0,10254.1,-5.50942,0.298766
-10253.8,0.995751,0.531055,2,7,0,10254.4,-5.56056,0.308048
-10253.5,0.981845,0.531055,2,7,0,10254.3,-5.52909,0.261805
-10253.8,0.973185,0.531055,2,7,0,10254.1,-5.54001,0.350215
-10253.4,0.984666,0.531055,2,7,0,10254.2,-5.53898,0.293674
-10254.3,0.937255,0.531055,2,7,0,10254.6,-5.55801,0.393879
-10254.1,0.989917,0.531055,2,3,0,10254.6,-5.5718,0.333294
-10253.5,0.992259,0.531055,2,7,0,10255.1,-5.54377,0.290589
-10254.1,0.908571,0.531055,2,7,0,10254.8,-5.52142,0.203022
-10253.8,1,0.531055,2,3,0,10254.1,-5.52118,0.22648
-10253.8,0.996669,0.531055,2,7,0,10254.1,-5.54785,0.357678
