# stan_version_major = 2
# stan_version_minor = 28
# stan_version_patch = 2
# model = logistic1_model
# start_datetime = 2021-12-27 20:18:59 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 75
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = /Users/rob/.julia/dev/Stan/Examples/RedCardsStudy/tmp1/logistic1_data_1.R
# init = 2 (Default)
# random
#   seed = 78996673 (Default)
# output
#   file = /Users/rob/.julia/dev/Stan/Examples/RedCardsStudy/tmp1/logistic1_chain_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 59e2660
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta.1,beta.2
# Adaptation terminated
# Step size = 0.59853
# Diagonal elements of inverse mass matrix:
# 0.00144032, 0.00802244
-10254.2,0.952249,0.59853,2,7,0,10254.3,-5.5681,0.299453
-10255.9,0.893896,0.59853,2,7,0,10257,-5.46127,0.131925
-10253.7,0.993405,0.59853,2,7,0,10256,-5.5111,0.242627
-10255.9,0.539735,0.59853,1,3,0,10256.4,-5.55245,0.189311
-10253.7,0.998073,0.59853,3,7,0,10255.7,-5.55262,0.297479
-10253.7,0.972355,0.59853,2,7,0,10254.3,-5.50888,0.235842
-10255,0.762513,0.59853,3,7,0,10255.9,-5.58178,0.299559
-10253.5,0.981935,0.59853,2,7,0,10255.3,-5.53851,0.309492
-10253.9,0.95834,0.59853,2,3,0,10253.9,-5.56575,0.340199
-10254.8,0.948611,0.59853,2,3,0,10255,-5.58752,0.409288
-10253.5,0.977196,0.59853,2,5,0,10255.5,-5.52716,0.26768
-10253.9,0.860212,0.59853,2,3,0,10254.1,-5.5054,0.270321
-10254.9,0.709837,0.59853,1,1,0,10254.9,-5.49306,0.295697
-10254.6,0.925984,0.59853,2,7,0,10256.5,-5.49587,0.167418
-10255,0.594308,0.59853,2,3,0,10257.3,-5.5234,0.168156
-10258.3,0.886215,0.59853,2,7,0,10259.5,-5.4326,0.0686681
-10253.5,0.992466,0.59853,2,7,0,10258.9,-5.52573,0.254783
