# stan_version_major = 2
# stan_version_minor = 28
# stan_version_patch = 2
# model = logistic1_model
# start_datetime = 2021-12-27 20:22:48 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 75
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 4
# id = 1 (Default)
# data
#   file = /Users/rob/.julia/dev/Stan/Examples/RedCardsStudy/tmp1/logistic1_data_1.R
# init = 2 (Default)
# random
#   seed = 79225495 (Default)
# output
#   file = /Users/rob/.julia/dev/Stan/Examples/RedCardsStudy/tmp1/logistic1_chain_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 4
# stanc_version = stanc3 59e2660
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta.1,beta.2
# Adaptation terminated
# Step size = 0.561167
# Diagonal elements of inverse mass matrix:
# 0.00119628, 0.00642612
-10255.1,0.903,0.561167,3,7,0,10255.3,-5.52674,0.170296
-10255.3,0.991666,0.561167,2,7,0,10256,-5.54503,0.419886
-10254,1,0.561167,2,3,0,10255.4,-5.54954,0.259047
-10253.4,0.998973,0.561167,2,3,0,10254,-5.53895,0.301263
-10253.8,0.90228,0.561167,2,7,0,10254.4,-5.56119,0.353309
-10253.4,0.864699,0.561167,2,7,0,10254.7,-5.53367,0.286495
-10253.7,0.96965,0.561167,2,7,0,10253.8,-5.51072,0.273174
-10253.7,0.952771,0.561167,2,5,0,10254.1,-5.54866,0.283917
-10253.8,0.995244,0.561167,2,7,0,10254,-5.55375,0.362174
-10254.1,0.883917,0.561167,2,3,0,10254.4,-5.57133,0.327789
-10254.9,0.770055,0.561167,2,3,0,10256.5,-5.56371,0.247943
-10253.9,0.885478,0.561167,2,7,0,10256.8,-5.55149,0.366601
-10254.6,0.974339,0.561167,2,3,0,10254.8,-5.58755,0.384178
-10255,0.956108,0.561167,2,3,0,10255.3,-5.56118,0.428596
-10255,1,0.561167,2,3,0,10255.5,-5.57938,0.436058
-10254,0.905853,0.561167,3,7,0,10256.1,-5.52668,0.339088
-10254,0.869662,0.561167,2,3,0,10255.4,-5.51239,0.309205
