# stan_version_major = 2
# stan_version_minor = 28
# stan_version_patch = 2
# model = logistic1_model
# start_datetime = 2021-12-27 17:14:11 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 75
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /Users/rob/.julia/dev/Stan/Examples/RedCardsStudy/tmp1/logistic1_data_4.R
# init = 2 (Default)
# random
#   seed = 67908718 (Default)
# output
#   file = /Users/rob/.julia/dev/Stan/Examples/RedCardsStudy/tmp1/logistic1_chain_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 59e2660
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta.1,beta.2
# Adaptation terminated
# Step size = 0.633837
# Diagonal elements of inverse mass matrix:
# 0.00116315, 0.00613639
-10254.2,0.777437,0.633837,2,3,0,10256.7,-5.56566,0.292201
-10253.9,1,0.633837,2,3,0,10254.2,-5.56159,0.306124
-10253.8,1,0.633837,2,3,0,10253.9,-5.53585,0.344571
-10254.8,0.965352,0.633837,2,3,0,10254.9,-5.58998,0.361211
-10254.1,0.993806,0.633837,2,3,0,10255.1,-5.55341,0.384356
-10253.6,0.820122,0.633837,2,7,0,10255.2,-5.52055,0.246784
-10254.2,0.899783,0.633837,2,3,0,10254.4,-5.49604,0.264196
-10253.5,0.971845,0.633837,2,7,0,10254.8,-5.5489,0.31891
-10254.1,0.772419,0.633837,2,5,0,10255.2,-5.4954,0.239077
-10254.5,0.737451,0.633837,2,3,0,10255.2,-5.52828,0.193636
-10253.9,1,0.633837,1,1,0,10254.4,-5.52299,0.219113
-10253.8,0.814129,0.633837,2,5,0,10255.2,-5.55573,0.290085
-10253.6,1,0.633837,3,7,0,10253.9,-5.5343,0.259514
-10253.5,1,0.633837,2,3,0,10253.6,-5.53454,0.262903
-10253.7,0.872738,0.633837,3,7,0,10255.2,-5.5449,0.348665
-10253.7,1,0.633837,1,1,0,10253.8,-5.54602,0.349957
-10253.6,1,0.633837,3,7,0,10253.7,-5.54743,0.337375
-10253.9,0.467574,0.633837,2,3,0,10258.6,-5.50547,0.268108
-10254.1,0.931499,0.633837,2,3,0,10254.4,-5.55299,0.262917
-10255,0.985229,0.633837,3,7,0,10255.6,-5.4745,0.171505
-10253.7,1,0.633837,2,3,0,10255,-5.51035,0.231847
-10254.8,0.943377,0.633837,2,3,0,10254.9,-5.4861,0.157431
-10253.6,1,0.633837,2,3,0,10254.9,-5.51537,0.242346
-10255.2,0.929731,0.633837,2,7,0,10255.7,-5.59493,0.432605
-10256.2,0.928341,0.633837,2,3,0,10256.5,-5.61431,0.443804
-10254.1,0.972065,0.633837,2,7,0,10257.9,-5.57138,0.368614
-10253.8,0.746179,0.633837,2,3,0,10255.7,-5.56301,0.317349
-10255.2,0.737661,0.633837,2,5,0,10258.2,-5.54071,0.188823
-10253.7,0.907947,0.633837,2,3,0,10255.5,-5.50953,0.272042
-10254.3,0.785231,0.633837,2,3,0,10255.2,-5.53795,0.21843
-10253.8,1,0.633837,2,7,0,10254.3,-5.52909,0.331704
-10253.5,0.989481,0.633837,3,7,0,10254.9,-5.54178,0.294691
-10253.8,0.913458,0.633837,2,7,0,10254.4,-5.51081,0.286317
-10254.1,0.983541,0.633837,2,7,0,10254.6,-5.57051,0.318566
-10254,1,0.633837,1,1,0,10254.2,-5.56966,0.326286
-10255.4,0.872352,0.633837,2,3,0,10256,-5.59982,0.426382
-10254.4,0.911101,0.633837,3,7,0,10256.4,-5.51891,0.342935
-10254.4,0.985564,0.633837,1,1,0,10254.7,-5.51723,0.341156
-10254.5,0.989801,0.633837,2,7,0,10255.5,-5.50477,0.169333
-10254.6,0.99583,0.633837,2,3,0,10254.9,-5.48601,0.171371
-10254.6,0.326786,0.633837,1,3,0,10258.8,-5.48601,0.171371
-10253.8,0.844571,0.633837,2,5,0,10255.8,-5.56197,0.325685
-10254,0.936456,0.633837,2,5,0,10254.5,-5.51007,0.301316
-10254.4,0.832284,0.633837,2,7,0,10256,-5.51908,0.187413
-10254,1,0.633837,2,3,0,10254.3,-5.49928,0.244465
-10254.1,0.896989,0.633837,2,3,0,10254.5,-5.51439,0.195989
-10254.4,0.72748,0.633837,2,3,0,10256.3,-5.54494,0.226196
-10255.5,0.917345,0.633837,2,3,0,10255.6,-5.54977,0.197823
-10253.9,1,0.633837,1,3,0,10255.1,-5.52835,0.223217
