# stan_version_major = 2
# stan_version_minor = 25
# stan_version_patch = 0
# model = logistic1_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = logistic1_data_1.R
# init = 2 (Default)
# random
#   seed = 3074237369 (Default)
# output
#   file = output.csv (Default)
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
# num_threads = 9
# stanc_version = stanc3 8188136
# stancflags = --warn-pedantic --O
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta.1,beta.2
# Adaptation terminated
# Step size = 0.604823
# Diagonal elements of inverse mass matrix:
# 0.00110337, 0.00632859
-10253.6,0.945612,0.604823,2,3,0,10255.6,-5.55217,0.305914
-10253.9,0.852272,0.604823,3,7,0,10255.2,-5.54941,0.370041
-10254.6,0.913471,0.604823,2,3,0,10255.2,-5.57186,0.416274
-10254.9,0.963175,0.604823,3,7,0,10255.4,-5.58205,0.425252
-10255.1,0.945687,0.604823,1,1,0,10255.2,-5.57897,0.440203
-10254.2,0.89046,0.604823,2,3,0,10256.1,-5.57546,0.355675
-10254,0.959866,0.604823,2,7,0,10255.2,-5.56027,0.290407
-10255.3,0.70745,0.604823,1,1,0,10255.4,-5.57603,0.266766
-10255.3,0.99827,0.604823,2,3,0,10255.4,-5.52004,0.378896
-10253.7,1,0.604823,1,3,0,10255.4,-5.55546,0.351547
-10253.7,0.773522,0.604823,2,3,0,10254.6,-5.55546,0.351547
-10253.8,0.952313,0.604823,2,7,0,10254.9,-5.51962,0.220748
-10253.7,1,0.604823,2,3,0,10253.9,-5.51077,0.240552
-10253.5,0.970368,0.604823,3,7,0,10253.9,-5.52528,0.259228
-10254.7,0.786912,0.604823,2,3,0,10254.9,-5.53496,0.196942
-10253.8,0.979947,0.604823,1,3,0,10255,-5.50505,0.228103
-10254.1,0.953058,0.604823,2,3,0,10254.2,-5.51747,0.200896
-10254.9,0.985671,0.604823,2,3,0,10255,-5.47595,0.202178
-10255.2,1,0.604823,2,3,0,10255.3,-5.47101,0.174831
-10255.1,0.863438,0.604823,2,3,0,10256,-5.51867,0.160227
-10254.8,0.955398,0.604823,2,7,0,10255.9,-5.53007,0.382225
-10254.7,0.996067,0.604823,2,7,0,10255.6,-5.53359,0.194413
-10254,1,0.604823,1,1,0,10254.5,-5.52809,0.216484
-10258.8,0.682449,0.604823,3,7,0,10259.5,-5.43106,0.198282
-10256.9,1,0.604823,2,3,0,10258.8,-5.48839,0.0785142
-10256.9,0.649011,0.604823,1,1,0,10258.7,-5.48839,0.0785142
-10254,0.992749,0.604823,2,7,0,10258.5,-5.52816,0.345422
